Company Name,Website,Industry,City,Country,Employees,Annual Revenue,Year Founded,Owner,Title,Email,Phone,LinkedIn,Source List
Blue Ridge Metal Inc.,http://blueridge.com,Metal Fabrication,Nashville,United States,4 employees,476396,2021,Nancy Whitfield,Operations Manager,nancy.whitfield@gmail.com,,linkedin.com/company/blueridge,trade_assoc
CASTELLANOS & MARCHETTI LTD,,Staffing & Recruiting,Milwaukee,United States,,"$5,448,364",2004,Kevin Castellanos,Owner,,(411) 483-7175,,chamber_export
Ngo Accounting Ltd,http://ngoaccounting.com,Accounting Services,Raleigh,United States,8,"1,060,128",,Donna Ngo,General Manager,dngo@ngoaccounting.com,(856) 608-8463,linkedin.com/company/ngoaccounting,trade_assoc
Stanek & Delgado Co.,stanekdelgado.com,Landscaping,Indianapolis,United States,120 employees,"26,452,200",1996,,Founder,,+12783896426,,trade_assoc
Silverline Waste Ltd,http://silverlinewaste.com,Waste Management,Raleigh,United States,115-125,"11,571,960",2017,Maria Kellerman,Managing Director,mkellerman@silverlinewaste.com,+12099807234,,chamber_export
Harbor Precision Co.,https://www.harborprecision.com,Precision Machining,Orlando,United States,33-43,"5,162,528",,,General Manager,,(775) 876-8186,linkedin.com/company/harborprecision,trade_assoc
Stanek & Ferraro Ltd,,Roofing,Dallas,United States,,25407000,2013,Raymond Stanek,Office Manager,,+16875034644,,chamber_export
Whitfield & Ashworth Co.,http://whitfieldashworth.com,Digital Marketing Agency,Charlotte,United States,,3831426,,Donna Whitfield,General Manager,,(601) 436-9993,,directory_q3
Charlotte HVAC Industries LLC,charlottehvac.com,HVAC,Charlotte,United States,55-65,"$7,134,780",1972,Donna Muldoon,General Manager,info@charlottehvac.com,+13663793942,,trade_assoc
Stanek & Toussaint LLC,stanektoussaint.com,Electrical Contracting,Phoenix,United States,31,"6,392,076",,,Office Manager,nstanek@stanektoussaint.com,,,chamber_export
Summit Metal LLC,summitmetal.com,Metal Fabrication,Dallas,United States,,,2009,,General Manager,mtoussaint@summitmetal.com,,,trade_assoc
Tampa Landscaping & Sons Ltd,www.tampalandscaping.com,Landscaping,Tampa,United States,4,$0.7M,,Maria Muldoon,VP Operations,maria.muldoon@gmail.com,+19189812349,,trade_assoc
Silverline Software Ltd,silverlinesoftware.com,Software Consulting,Portland,United States,190 employees,34639470,,James Marchetti,Founder,james.marchetti@gmail.com,(424) 573-5004,linkedin.com/company/silverlinesoftware,chamber_export
Bhatti & Pruitt Inc,bhattipruitt.com,Pest Control,Raleigh,United States,60 employees,"9,655,200",2001,,Office Manager,,(721) 209-9997,linkedin.com/company/bhattipruitt,chamber_export
Austin Landscaping Industries LLC,http://austinlandscaping.com,Landscaping,Austin,United States,,57097560,1991,Walter Delgado,Office Manager,wdelgado@austinlandscaping.com,(943) 695-3210,linkedin.com/company/austinlandscaping,directory_q3
Kellerman Landscaping,https://www.kellermanlandscaping.com,Landscaping,Cleveland,United States,22,$3.4M,2021,David Coyle,,contact@kellermanlandscaping,+15467262632,linkedin.com/company/kellermanlandscaping,chamber_export
Toronto Plumbing Company Ltd,torontoplumbing.com,Plumbing,Toronto,Canada,40-50,7594605,2021,Robert Barrett,Managing Director,robert@torontoplumbing.com,,linkedin.com/company/torontoplumbing,directory_q3
Houston Dental Group Inc.,houstondental.com,Dental Practice,Houston,United States,8 employees,$0.9M,1972,Anne Ferraro,General Manager,contact@houstondental,+18988924996,,directory_q3
Charlotte Staffing Works Co.,charlottestaffing.com,Staffing & Recruiting,Charlotte,United States,335-345,,2021,Nancy Delgado,Owner,info@charlottestaffing.com,+18904302931,linkedin.com/company/charlottestaffing,chamber_export
Summit HVAC Co.,http://summithvac.com,HVAC,Milwaukee,United States,38 employees,8834126,,Miguel Pruitt,,info@summithvac.com,(884) 210-1770,linkedin.com/company/summithvac,trade_assoc
Ironwood Precision LLC,www.ironwoodprecision.com,Precision Machining,Kansas City,United States,340,$77.9M,1996,Ruth Halloran,President,ruth.halloran@gmail.com,(552) 981-5283,,chamber_export
Whitfield & Renner Ltd,http://whitfieldrenner.com,Software Consulting,Charlotte,United States,40-50,4401405,2013,Walter Whitfield,Managing Director,info@whitfieldrenner.com,(514) 579-6275,,trade_assoc
Riverside Real Ltd,https://www.riversidereal.com,Real Estate Brokerage,Phoenix,United States,80-90,"$15,217,805",,Nancy Ivers,President,contact@riversidereal,+14092195564,,chamber_export
Delgado & Ferraro,http://delgadoferraro.com,Auto Repair,Nashville,United States,18,4102218,2013,Linda Delgado,Office Manager,ldelgado@delgadoferraro.com,+16373664234,linkedin.com/company/delgadoferraro,trade_assoc
Kellerman & Lindqvist Inc.,kellermanlindqvist.com,Digital Marketing Agency,Raleigh,United States,40-50,6.19 million,2004,Sharon Kellerman,VP Operations,skellerman@kellermanlindqvist.com,(965) 514-9192,linkedin.com/company/kellermanlindqvist,trade_assoc
Okonkwo & Whitfield LLC,okonkwowhitfield.com,Software Consulting,Orlando,United States,31 employees,5.20 million,2013,Dennis Muldoon,Owner,info@okonkwowhitfield.com,+15286710901,linkedin.com/company/okonkwowhitfield,trade_assoc
Nakamura Auto Ltd,https://www.nakamuraauto.com,Auto Repair,Dallas,United States,120 employees,"20,728,080",1984,,Operations Manager,lnakamura@nakamuraauto.com,+14293408819,,trade_assoc
Columbus Dental & Sons LLC,https://www.columbusdental.com,Dental Practice,Columbus,United States,60 employees,12591300,2017,Susan Ivers,Founder,info@columbusdental.com,(828) 536-8072,,directory_q3
Barrett & Marchetti,,Real Estate Brokerage,Austin,United States,,"2,008,494",,,VP Operations,,(283) 348-4680,,chamber_export
Columbus Precision Company,columbusprecision.com,Precision Machining,Columbus,United States,8 employees,1780504,1996,,President,info@columbusprecision.com,+13498836920,linkedin.com/company/columbusprecision,directory_q3
Stanek & Whitfield Inc.,stanekwhitfield.com,Waste Management,Cleveland,United States,85,$14.3M,2001,Sharon Pruitt,General Manager,spruitt@stanekwhitfield.com,(925) 355-5724,,directory_q3
Riverside Auto Inc.,http://riversideauto.com,Auto Repair,Portland,United States,120,,1991,Kevin Pruitt,,kevin@riversideauto.com,(790) 355-3844,,chamber_export
Orlando Digital Group Inc.,orlandodigital.com,Digital Marketing Agency,Orlando,United States,31,"7,344,985",1984,Gloria Whitfield,,gwhitfield@orlandodigital.com,,,directory_q3
Vasquez & Marchetti Inc.,https://www.vasquezmarchetti.com,Veterinary Services,Portland,United States,45,$6.0M,2017,Linda Vasquez,Operations Manager,lvasquez@vasquezmarchetti.com,(709) 430-8555,linkedin.com/company/vasquezmarchetti,trade_assoc
Orlando Event Partners LLC,orlandoevent.com,Event Planning,Orlando,United States,22,"$3,162,962",2017,Ruth Halloran,,ruth@orlandoevent.com,(660) 637-3859,,directory_q3
Raleigh Pest Company Inc.,www.raleighpest.com,Pest Control,Raleigh,United States,,5.13 million,1991,Donna Renner,General Manager,,+14113183028,linkedin.com/company/raleighpest,trade_assoc
Lindqvist Pest,http://lindqvistpest.com,Pest Control,Dallas,United States,120,$27.0M,2004,David Lindqvist,Owner,david@lindqvistpest.com,+19358566125,,trade_assoc
Stanek & Vasquez,http://stanekvasquez.com,Event Planning,Milwaukee,United States,,17434560,2013,,Office Manager,,+17202023698,,trade_assoc
Vasquez & Stanek Ltd,,Electrical Contracting,Columbus,United States,,"$8,579,488",2001,Dennis Vasquez,Operations Manager,,(360) 390-5777,,chamber_export
Milwaukee Real Group,www.milwaukeereal.com,Real Estate Brokerage,Milwaukee,United States,4,618832,1972,Raymond Ngo,,info@milwaukeereal.com,(962) 207-8000,linkedin.com/company/milwaukeereal,trade_assoc
Summit Metal LLC,https://www.summitmetal.com,Metal Fabrication,Milwaukee,United States,8 employees,"1,383,776",2017,Kevin Ferraro,Owner,kferraro@summitmetal.com,,linkedin.com/company/summitmetal,chamber_export
Nakamura Event Inc.,https://www.nakamuraevent.com,Event Planning,Tucson,United States,85 employees,"13,076,315",1972,Susan Nakamura,Founder,snakamura@nakamuraevent.com,,linkedin.com/company/nakamuraevent,chamber_export
Denver Software Partners Co.,denversoftware.com,Software Consulting,Denver,United States,45 employees,10553805,,Gloria Ngo,VP Operations,gngo@denversoftware.com,(395) 763-7370,,directory_q3
Kellerman Commercial Co.,https://www.kellermancommercial.com,Commercial Janitorial,Milwaukee,United States,22,2903978,1972,Linda Kellerman,Owner,linda.kellerman@gmail.com,+12202051244,,chamber_export
WHITFIELD AUTO,http://whitfieldauto.com,Auto Repair,Toronto,Canada,,8398440,2017,Linda Whitfield,,,+14477405775,,chamber_export
Halloran Third LLC,www.halloranthird.com,Third Party Logistics,Columbus,United States,185-195,"$37,476,550",,,Founder,nhalloran@halloranthird.com,(578) 661-3319,,chamber_export
Muldoon & Ashworth Inc,http://muldoonashworth.com,Roofing,Kansas City,United States,80-90,11774200,2017,David Muldoon,VP Operations,dmuldoon@muldoonashworth.com,(653) 598-4133,,trade_assoc
Riverside Third Co.,www.riversidethird.com,Third Party Logistics,Columbus,United States,45,4819725,,Maria Ferraro,President,maria.ferraro@gmail.com,(307) 477-4064,linkedin.com/company/riversidethird,trade_assoc
Tampa Roofing & Sons Inc.,http://tamparoofing.com,Roofing,Tampa,United States,85 employees,11.98 million,1996,Robert Kellerman,General Manager,,+17456715012,,directory_q3
Granite Plumbing Co.,https://www.graniteplumbing.com,Plumbing,Orlando,United States,190 employees,36623070,1984,Dennis Renner,Operations Manager,drenner@graniteplumbing.com,+12357866811,linkedin.com/company/graniteplumbing,chamber_export
Ashworth & Barrett Co.,https://www.ashworthbarrett.com,Digital Marketing Agency,Sacramento,United States,40-50,7.99 million,2001,,,contact@ashworthbarrett,,linkedin.com/company/ashworthbarrett,trade_assoc
Indianapolis Accounting Group Inc,http://indianapolisaccounting.com,Accounting Services,Indianapolis,United States,60,,2021,Gloria Ashworth,Operations Manager,,,,directory_q3
Cardinal Roofing Ltd,cardinalroofing.com,Roofing,Nashville,United States,8,1577576,2001,Hector Ngo,,info@cardinalroofing.com,+13665328980,linkedin.com/company/cardinalroofing,directory_q3
Bhatti Waste Inc.,bhattiwaste.com,Waste Management,Kansas City,United States,1-9,,2021,Patricia Delgado,Managing Director,patricia.delgado@gmail.com,(556) 451-3354,,directory_q3
Orlando Electrical Group Inc,orlandoelectrical.com,Electrical Contracting,Orlando,United States,80-90,"$19,599,045",1972,Dennis Barrett,General Manager,dennis.barrett@gmail.com,(533) 464-7643,linkedin.com/company/orlandoelectrical,chamber_export
Summit Metal,summitmetal.com,Metal Fabrication,Cleveland,United States,45,"6,058,845",,,President,tdelgado@summitmetal.com,(306) 725-7820,linkedin.com/company/summitmetal,trade_assoc
Whitfield Digital Co.,https://www.whitfielddigital.com,Digital Marketing Agency,Denver,United States,115-125,,1972,Robert Vasquez,VP Operations,rvasquez@whitfielddigital.com,+18250472606,linkedin.com/company/whitfielddigital,chamber_export
Silverline Precision Inc,www.silverlineprecision.com,Precision Machining,Cleveland,United States,340 employees,"45,622,220",2021,Patricia Renner,President,,(567) 345-9968,linkedin.com/company/silverlineprecision,trade_assoc
Ironwood Software Inc,ironwoodsoftware.com,Software Consulting,Tampa,United States,60,,,,,raymond.kellerman@gmail.com,,linkedin.com/company/ironwoodsoftware,directory_q3
Phoenix Dental Partners LLC,phoenixdental.com,Dental Practice,Phoenix,United States,31 employees,,,Ruth Whitfield,Managing Director,rwhitfield@phoenixdental.com,+17755321642,,chamber_export
Bhatti Precision Inc,http://bhattiprecision.com,Precision Machining,Manchester,United Kingdom,120,25866840,2021,,,,+17749337955,,trade_assoc
Riverside HVAC LLC,riversidehvac.com,HVAC,Portland,United States,26 employees,3.03 million,,Linda Ivers,Founder,livers@riversidehvac.com,+15533613445,linkedin.com/company/riversidehvac,trade_assoc
KANSAS CITY VETERINARY SYSTEMS,http://kansascity.com,Veterinary Services,Kansas City,United States,,1084376,1984,Dennis Castellanos,Operations Manager,,(767) 679-2105,,chamber_export
Marchetti & Renner Ltd,https://www.marchettirenner.com,Commercial Janitorial,Denver,United States,335-345,53.81 million,1996,Miguel Whitfield,President,info@marchettirenner.com,,linkedin.com/company/marchettirenner,trade_assoc
Harbor HVAC LLC,http://harborhvac.com,HVAC,Tampa,United States,85 employees,$19.5M,1991,,General Manager,info@harborhvac.com,+13341939626,linkedin.com/company/harborhvac,trade_assoc
Toussaint Auto Co.,toussaintauto.com,Auto Repair,Portland,United States,85,"7,932,795",2021,Gloria Ivers,Managing Director,givers@toussaintauto.com,,linkedin.com/company/toussaintauto,directory_q3
Ivers Roofing Inc.,https://www.iversroofing.com,Roofing,Tampa,United States,17-27,2520100,2017,,President,divers@iversroofing.com,+18400115699,,directory_q3
Blue Ridge Accounting LLC,http://blueridge.com,Accounting Services,Austin,United States,7-17,1447356,2013,Patricia Barrett,VP Operations,pbarrett@blueridge.com,+16058200111,,trade_assoc
Nakamura Roofing LLC,www.nakamuraroofing.com,Roofing,Houston,United States,26-36,"$7,200,587",2004,Patricia Nakamura,VP Operations,patricia@nakamuraroofing.com,+17041282826,linkedin.com/company/nakamuraroofing,directory_q3
Silverline Commercial Inc,https://www.silverlinecommercial.com,Commercial Janitorial,Phoenix,United States,60 employees,"$14,290,560",1984,Thomas Ferraro,Office Manager,info@silverlinecommercial.com,(221) 660-1099,linkedin.com/company/silverlinecommercial,chamber_export
Pruitt & Nakamura Ltd,pruittnakamura.com,Plumbing,Orlando,United States,,4.13 million,,Walter Pruitt,Owner,,+15308455925,,chamber_export
